FID;INSTAL_COD;INSTAL_NOM;INSTAL_N_1;ETAB_CODE;ETAB_NOM;ETAB_NOM_A;RSS_CODE;RSS_NOM;ADRESSE;CASE_POST;CODE_POSTA;TELEPHONE;MUN_CODE;MUN_NOM;CLSC_CODE;CLSC_NOM;MRC_CODE;MRC_NOM;RLS_CODE;RLS_NOM;RUIS_CODE;RUIS_NOM;STATUT_COD;MD_CONS_CO;MD_FINAN_C;DESIGN_MIN;INSTANCE;DATE_INCOR;DATE_OUVER;LONGITUDE;LATITUDE;CHPSY;CHSGS;CHSLD;CLSC;CPEJ;CRDITED;CRDPA;CRDPM;CRDPV;CRDPL;CRJDA;CRMDA;CRD;Y;X
915;51233708;POINT DE SERVICE DEUX-MONTAGNES/MIRABEL;POINT DE SERVICE DEUX-MONTAGNES/MIRABEL;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;333, rue Antonin-Campeau, bureau 102; ;J7R0A2;(450) 472-7327;72010;Deux-Montagnes;15151;Deux-Montagnes - Mirabel;720;Deux-Montagnes;1515;RLS de Deux-Montagnes - Mirabel-Sud;2;RUIS Université de Montréal;1;2;1; ;N;;2009/09/14 00:00:00+00;-73.907108;45.544163;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.9071079997996;45.5441630003335
916;51233716;POINT DE SERVICE MARLYNE, LA P'TITE GIRAFE;POINT DE SERVICE MARLYNE, LA P'TITE GIRAFE;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;18110, rue Lapointe; ;J7J1K8;(450) 437-8850;74005;Mirabel;15161;La Rivière-du-Nord - Mirabel;740;Mirabel;1516;RLS de la Rivière-du-Nord - Mirabel-Nord;2;RUIS Université de Montréal;1;2;1; ;N;;2009/09/14 00:00:00+00;-73.923943;45.695089;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.9239430006092;45.6950890002152
917;51233740;POINT DE SERVICE RIVIÈRE-ROUGE;POINT DE SERVICE RIVIÈRE-ROUGE;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;624, rue de L'Annonciation Nord; ;J0T1T0;(819) 275-7455;79037;Rivière-Rouge;15111;Antoine-Labelle;790;Antoine-Labelle;1511;RLS d'Antoine-Labelle;2;RUIS Université de Montréal;1;2;1; ;N;;2009/09/14 00:00:00+00;-74.871608;46.414893;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-74.8716079998929;46.4148929999099
918;51233765;CLSC DE BASSIN;CLSC DE BASSIN;11044088;Centre intégré de santé et de services sociaux des Îles;CISSS DES ÎLES;11;Gaspésie–Îles-de-la-Madeleine;599, chemin du Bassin (Bassin); ;G4T0C8;(418) 937-2572;1023;Les Îles-de-la-Madeleine;11211;Îles-de-la-Madeleine;10;Communauté maritime des Îles-de-la-Madeleine;1121;RLS des Îles-de-la-Madeleine;1;RUIS Université Laval;1;2;1; ;O;2007/04/11 00:00:00+00;2010/12/09 00:00:00+00;-61.933498;47.221557;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-61.9334979995042;47.2215570000936
919;51233773;ATELIER DES MERVEILLES;ATELIER DES MERVEILLES;11045184;Centre intégré universitaire de santé et de services sociaux du Centre-Sud-de-l'Île-de-Montréal;CIUSSS DU CENTRE-SUD-DE-L'ÎLE-DE-MONTRÉAL;6;Montréal;75, rue de Port-Royal Est;secteur 120;H3L3T1;(514) 387-1234;66023;Montréal;6421;Ahuntsic;660;Montréal;642;RLS d'Ahuntsic - Montréal-Nord;2;RUIS Université de Montréal;1;2;1; ;N;;2011/05/12 00:00:00+00;-73.656786;45.547775;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-73.6567859995222;45.5477750000752
920;51233781;CENTRE D'HÉBERGEMENT DE PONT-ROUGE;CENTRE D'HÉBERGEMENT DE PONT-ROUGE;11045135;Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale;CIUSSS DE LA CAPITALE-NATIONALE;3;Capitale-Nationale;5, rue du Jardin; ;G3H0H1;(418) 873-4661;34017;Pont-Rouge;3111;Portneuf;340;Portneuf;311;RLS de Portneuf;1;RUIS Université Laval;1;2;1; ;N;;2011/09/14 00:00:00+00;-71.690369;46.746371;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.6903689995598;46.7463710002887
921;51233799;HÔPITAL CHARLES-LE MOYNE;HÔPITAL CHARLES-LE MOYNE;11045291;Centre intégré de santé et de services sociaux de la Montérégie-Centre;CISSS DE LA MONTÉRÉGIE-CENTRE;16;Montérégie;3120, boulevard Taschereau; ;J4V2H1;(450) 466-5000;58227;Longueuil;16111;Brossard - Saint-Lambert;580;Longueuil;1611;RLS de Champlain;2;RUIS Université de Montréal;1;2;1; ;N;;2011/09/09 00:00:00+00;-73.486423;45.497266;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.4864230005189;45.4972660001606
922;51233807;CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE DE L'ÉQUERRE;CRDI DE L'ÉQUERRE;11045135;Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale;CIUSSS DE LA CAPITALE-NATIONALE;3;Capitale-Nationale;5, rue Paul-René-Tremblay; ;G3Z3E4;(418) 435-3682;16013;Baie-Saint-Paul;3141;Charlevoix-Ouest;160;Charlevoix;314;RLS de Charlevoix;1;RUIS Université Laval;1;2;1; ;N;;2009/03/31 00:00:00+00;-70.521624;47.446635;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-70.5216240003336;47.4466350000119
923;51233815;CENTRE ANDRÉ-BOUDREAU;CENTRE ANDRÉ-BOUDREAU;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;295, rue de Villemure; ;J7Z5J5;(450) 432-1858;75017;Saint-Jérôme;15161;La Rivière-du-Nord - Mirabel;750;La Rivière-du-Nord;1516;RLS de la Rivière-du-Nord - Mirabel-Nord;2;RUIS Université de Montréal;1;2;1; ;N;;2011/09/19 00:00:00+00;-74.001611;45.776777;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Oui;-74.0016109999581;45.7767770001571
924;51233831;CENTRE D'HÉBERGEMENT ROLAND-LECLERC;CENTRE D'HÉBERGEMENT ROLAND-LECLERC;11045143;Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec;CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC;4;Mauricie et Centre-du-Québec;3500, rue Sainte-Marguerite; ;G8Z1X3;(000) 000-0000;37067;Trois-Rivières;4151;Trois-Rivières;371;Trois-Rivières;415;RLS de Trois-Rivières;2;RUIS Université de Montréal;1;2;1; ;N;;2011/10/12 00:00:00+00;-72.579559;46.344229;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-72.5795590000716;46.3442290004128
925;51233849;CLSC DE L'OUEST-DE-L'ÎLE;CLSC DE L'OUEST-DE-L'ÎLE;11045267;Centre intégré de santé et de services sociaux de Laval;CISSS DE LAVAL;13;Laval;4250, rue Dagenais Ouest; ;H7R1L4;(450) 627-2530;65005;Laval;13111;Sainte-Rose-de-Laval;650;Laval;1311;RLS de Laval;2;RUIS Université de Montréal;1;2;1; ;N;;2011/10/03 00:00:00+00;-73.837428;45.558862;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.8374280003099;45.5588620003792
926;51233856;CENTRE DE RÉADAPTATION EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME DE SAINTE-CLAIRE;CRDI-TSA DE SAINTE-CLAIRE;11045333;Centre intégré de santé et de services sociaux de Chaudière-Appalaches;CISSS DE CHAUDIÈRE-APPALACHES;12;Chaudière-Appalaches;179, boulevard Bégin; ;G0R2V0;(418) 883-2599;19055;Sainte-Claire;12114;Bellechasse;190;Bellechasse;1211;RLS Alphonse-Desjardins;1;RUIS Université Laval;1;2;1; ;N;;2011/09/30 00:00:00+00;-70.858855;46.600287;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-70.8588549993817;46.6002870001606
927;51233898;CENTRE D'ACTIVITÉS DE JOUR EN DÉFICIENCE INTELLECTUELLE ET EN TROUBLES DU SPECTRE DE L'AUTISME NOTRE-DAME;CENTRE ACT. DE JOUR DI-TSA NOTRE-DAME;11045333;Centre intégré de santé et de services sociaux de Chaudière-Appalaches;CISSS DE CHAUDIÈRE-APPALACHES;12;Chaudière-Appalaches;1923, rue Notre-Dame Est; ;G6G2V8;(418) 335-5811;31084;Thetford Mines;12121;Les Appalaches;310;Les Appalaches;1212;RLS de la région de Thetford;1;RUIS Université Laval;1;2;1; ;N;;2011/10/14 00:00:00+00;-71.273314;46.111841;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-71.2733140004513;46.1118410000052
928;51233906;CENTRE DE RÉADAPTATION POUR LES JEUNES EN DIFFICULTÉ D'ADAPTATION ARTHUR-BUIES;CRJDA ARTHUR-BUIES;11045119;Centre intégré de santé et de services sociaux du Bas-Saint-Laurent;CISSS DU BAS-SAINT-LAURENT;1;Bas-Saint-Laurent;16, boulevard Arthur-Buies Ouest; ;G5L5C3;(000) 000-0000;10043;Rimouski;1151;Rimouski-Neigette;100;Rimouski-Neigette;115;RLS de Rimouski;1;RUIS Université Laval;1;2;1; ;N;;2011/12/08 00:00:00+00;-68.511498;48.440344;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Oui;Non;Non;-68.5114979997066;48.4403439999157
929;51233914;HÔPITAL DE L'ENFANT-JÉSUS;HÔPITAL DE L'ENFANT-JÉSUS;11045051;CHU de Québec – Université Laval;CHU DE QUÉBEC – UL;3;Capitale-Nationale;1401, 18e Rue; ;G1J1Z4;(418) 649-0252;23027;Québec;3126;Limoilou-Vanier;230;Québec;312;RLS de Québec-Sud;1;RUIS Université Laval;1;2;1;1;N;;2011/11/29 00:00:00+00;-71.225495;46.837203;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.2254949998554;46.8372030003733
930;51233930;CLSC DE MANIWAKI;CLSC DE MANIWAKI;11045218;Centre intégré de santé et de services sociaux de l'Outaouais;CISSS DE L'OUTAOUAIS;7;Outaouais;149, rue Principale Nord; ;J9E2B7;(819) 449-2513;83065;Maniwaki;7121;Des Forestiers;830;La Vallée-de-la-Gatineau;712;RLS de la Vallée-de-la-Gatineau;3;RUIS Université McGill;1;2;1; ;N;;2011/01/10 00:00:00+00;-75.984593;46.383893;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-75.9845930001159;46.3838929998619
931;51233948;CENTRE D'HÉBERGEMENT DU MANOIR-TRINITÉ;CENTRE D'HÉBERGEMENT DU MANOIR-TRINITÉ;11045309;Centre intégré de santé et de services sociaux de la Montérégie-Est;CISSS DE LA MONTÉRÉGIE-EST;16;Montérégie;1275, boulevard Jacques-Cartier Est; ;J4M2Y8;(450) 674-4948;58227;Longueuil;16212;Longueuil-Est;580;Longueuil;1621;RLS Pierre-Boucher;2;RUIS Université de Montréal;1;2;1; ;N;;2011/06/01 00:00:00+00;-73.459423;45.53539;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.4594230004389;45.5353899997563
932;51233955;SERVICES EXTERNES DE QUÉBEC - DES SANTOLINES;SERVICES EXTERNES DE QUÉBEC - DES SANTOLINES;11045135;Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale;CIUSSS DE LA CAPITALE-NATIONALE;3;Capitale-Nationale;7843, rue des Santolines; ;G1G0G3;(418) 683-2512;23027;Québec;3132;Charlesbourg;230;Québec;313;RLS de Québec-Nord;1;RUIS Université Laval;1;2;1; ;N;;2011/12/08 00:00:00+00;-71.296062;46.8933;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-71.2960620001142;46.8932999996859
933;51233963;CENTRE D'ACTIVITÉS DE JOUR ET ATELIER DE TRAVAIL JACQUES-BÉDARD;CENTRE D'ACT. DE JOUR - ATELIER DE TRAV. JACQUES-BÉDARD;11045135;Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale;CIUSSS DE LA CAPITALE-NATIONALE;3;Capitale-Nationale;641, rue Jacques-Bédard; ;G2N1C5;(418) 849-3335;23027;Québec;3132;Charlesbourg;230;Québec;313;RLS de Québec-Nord;1;RUIS Université Laval;1;2;1; ;N;;2011/04/01 00:00:00+00;-71.34341;46.912101;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-71.3434099994831;46.9121009997648
934;51233971;CENTRE D'ACTIVITÉS DE JOUR DE QUÉBEC - CENTRE DUROCHER;CENTRE D'ACTIVITÉS DE JOUR DE QUÉBEC - CENTRE DUROCHER;11045135;Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale;CIUSSS DE LA CAPITALE-NATIONALE;3;Capitale-Nationale;290, rue de Carillon; ;G1K5B2;(418) 524-8370;23027;Québec;3125;Québec - Basse-Ville;230;Québec;312;RLS de Québec-Sud;1;RUIS Université Laval;1;2;1; ;N;;2010/03/08 00:00:00+00;-71.237799;46.811598;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-71.2377989995248;46.8115980000027
935;51233989;HÔPITAL EN SANTÉ MENTALE PIERRE-JANET;HÔPITAL EN SANTÉ MENTALE PIERRE-JANET;11045218;Centre intégré de santé et de services sociaux de l'Outaouais;CISSS DE L'OUTAOUAIS;7;Outaouais;20, rue Pharand; ;J9A1K7;(819) 771-7761;81017;Gatineau;7142;Hull;810;Gatineau;714;RLS de Grande-Rivière - Hull - Gatineau;3;RUIS Université McGill;1;2;1; ;N;;2012/01/29 00:00:00+00;-75.73993;45.425294;Non;Oui;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-75.7399300005564;45.4252939999177
936;51233997;CENTRE D'HÉBERGEMENT ET DE SOINS DE LONGUE DURÉE SAINT-JUDE;CHSLD SAINT-JUDE;11044955;CHSLD Age3 Inc.;CHSLD AGE3 INC.;13;Laval;4410, boulevard Saint-Martin Ouest; ;H7T1C3;(450) 687-7714;65005;Laval;13114;Chomedey;650;Laval;1311;RLS de Laval;2;RUIS Université de Montréal;2;1;2; ;N;2012/04/26 00:00:00+00;2012/04/01 00:00:00+00;-73.767666;45.547001;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.7676659993598;45.5470009999578
937;51234003;CENTRE D'HÉBERGEMENT ST-VINCENT-MARIE;CHSLD ST-VINCENT-MARIE;11044955;CHSLD Age3 Inc.;CHSLD AGE3 INC.;6;Montréal;1175, boulevard de la Côte-Vertu; ;H4L5J1;(514) 744-1175;66023;Montréal;6412;Saint-Laurent;660;Montréal;641;RLS du Nord de l'Île - Saint-Laurent;2;RUIS Université de Montréal;2;1;2; ;N;2012/04/26 00:00:00+00;2012/04/01 00:00:00+00;-73.679162;45.517578;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-73.679161999596;45.5175780002882
938;51234011;ATELIER TACHE;ATELIER TACHE;11045119;Centre intégré de santé et de services sociaux du Bas-Saint-Laurent;CISSS DU BAS-SAINT-LAURENT;1;Bas-Saint-Laurent;511, rue de l'Expansion; ;G5M1S9;(418) 724-0727;10043;Rimouski;1151;Rimouski-Neigette;100;Rimouski-Neigette;115;RLS de Rimouski;1;RUIS Université Laval;1;2;1; ;N;;2011/12/13 00:00:00+00;-68.506524;48.468403;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-68.5065240000231;48.4684029996813
939;51234029;CLSC LAVIOLETTE;CLSC LAVIOLETTE;11045143;Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec;CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC;4;Mauricie et Centre-du-Québec;1274, rue Laviolette; ;G9A1W4;(819) 378-4838;37067;Trois-Rivières;4151;Trois-Rivières;371;Trois-Rivières;415;RLS de Trois-Rivières;2;RUIS Université de Montréal;1;2;1; ;N;;2011/10/12 00:00:00+00;-72.548543;46.351559;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-72.5485429994013;46.3515589999629
940;51234037;CLSC PÈRE-DANIEL;CLSC PÈRE-DANIEL;11045143;Centre intégré universitaire de santé et de services sociaux de la Mauricie-et-du-Centre-du-Québec;CIUSSS DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC;4;Mauricie et Centre-du-Québec;939, rue Père-Daniel; ;G9A2W9;(819) 370-2100;37067;Trois-Rivières;4151;Trois-Rivières;371;Trois-Rivières;415;RLS de Trois-Rivières;2;RUIS Université de Montréal;1;2;1; ;N;;2011/10/07 00:00:00+00;-72.559277;46.334032;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-72.5592769994987;46.3340320002909
941;51234045;CENTRE DE RÉADAPTATION LE BOUCLIER;CENTRE DE RÉADAPTATION LE BOUCLIER;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;51, rue Boyer; ;J7Z2K5;(450) 432-7588;75017;Saint-Jérôme;15161;La Rivière-du-Nord - Mirabel;750;La Rivière-du-Nord;1516;RLS de la Rivière-du-Nord - Mirabel-Nord;2;RUIS Université de Montréal;1;2;1; ;N;;2012/04/25 00:00:00+00;-74.00696;45.772813;Non;Non;Non;Non;Non;Non;Oui;Non;Non; ;Non;Non;Non;-74.0069600004395;45.772813000244
942;51234060;CENTRE DE RÉADAPTATION EN DÉFICIENCE PHYSIQUE DU BOUCLIER-DE-SAINTE-AGATHE;CRDP DU BOUCLIER-DE-SAINTE-AGATHE;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;234, rue Saint-Vincent; ;J8C2B8;(819) 324-4000;78032;Sainte-Agathe-des-Monts;15121;Les Laurentides;780;Les Laurentides;1512;RLS des Laurentides;2;RUIS Université de Montréal;1;2;1; ;N;;2012/04/01 00:00:00+00;-74.288823;46.054652;Non;Non;Non;Non;Non;Non;Non;Oui;Non; ;Non;Non;Non;-74.2888229996033;46.054651999833
943;51234078;CLSC DE PORTNEUF;CLSC DE PORTNEUF;11045135;Centre intégré universitaire de santé et de services sociaux de la Capitale-Nationale;CIUSSS DE LA CAPITALE-NATIONALE;3;Capitale-Nationale;655, avenue de l'Église; ;G0A2Y0;(418) 285-2626;34048;Portneuf;3111;Portneuf;340;Portneuf;311;RLS de Portneuf;1;RUIS Université Laval;1;2;1; ;N;;2012/04/05 00:00:00+00;-71.888295;46.710177;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.8882950003029;46.710177000022
944;51234086;CENTRE DE RÉADAPTATION POUR LES MÈRES ET LEURS ENFANTS VILLA MARIE-CLAIRE;CR POUR LES MÈRES ET LEURS ENFANTS VILLA MARIE-CLAIRE;11045150;Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke;CIUSSS DE L'ESTRIE – CHUS;5;Estrie;470, rue Victoria; ;J1H3J2;(819) 563-1622;43027;Sherbrooke;5151;Sherbrooke;430;Sherbrooke;515;RLS de Sherbrooke;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2012/04/01 00:00:00+00;-71.905312;45.405535;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Non;Oui;Non;-71.9053119995254;45.4055350002555
945;51234094;POINT DE SERVICE MEMPHRÉMAGOG-COATICOOK;POINT DE SERVICE MEMPHRÉMAGOG-COATICOOK;11045150;Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke;CIUSSS DE L'ESTRIE – CHUS;5;Estrie;50, rue Saint-Patrice Est; ;J1X3X3;(819) 843-3331;45072;Magog;5131;Memphrémagog;450;Memphrémagog;513;RLS de Memphrémagog;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2012/03/29 00:00:00+00;-72.144862;45.265088;Non;Non;Non;Non;Oui;Non;Non;Non;Non; ;Oui;Non;Non;-72.144862000577;45.2650879998368
946;51234102;ATELIER DU VAL-SAINT-FRANÇOIS;ATELIER DU VAL-SAINT-FRANÇOIS;12536637;Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie;CRDITED DE L'ESTRIE;5;Estrie;5, rue des Sources, bureau 104; ;J1S2X3;(819) 845-7200;42088;Windsor;5161;Val Saint-François;420;Le Val-Saint-François;516;RLS de Val Saint-François;4;RUIS Université de Sherbrooke;1;4;1; ;N;2007/04/02 00:00:00+00;2010/05/01 00:00:00+00;-72.013734;45.565655;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-72.0137340004228;45.5656550003693
947;51234110;CENTRE D'ACTIVITÉS DE JOUR DE MAGOG;CENTRE D'ACTIVITÉS DE JOUR DE MAGOG;12536637;Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie;CRDITED DE L'ESTRIE;5;Estrie;1525, rue Principale Est; ;J1X1Z8;(819) 843-0796;45072;Magog;5131;Memphrémagog;450;Memphrémagog;513;RLS de Memphrémagog;4;RUIS Université de Sherbrooke;1;4;1; ;N;2007/04/02 00:00:00+00;2008/05/01 00:00:00+00;-72.124798;45.262868;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-72.1247980002322;45.2628679999238
948;51234128;CENTRE D'ACTIVITÉS DE JOUR DU HAUT-SAINT-FRANÇOIS;CENTRE D'ACTIVITÉS DE JOUR DU HAUT-SAINT-FRANÇOIS;12536637;Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie;CRDITED DE L'ESTRIE;5;Estrie;109, rue Saint-Jacques Est; ;J0B1R0;(819) 832-4212;41060;East Angus;5181;Haut-Saint-François;410;Le Haut-Saint-François;518;RLS du Haut-Saint-François;4;RUIS Université de Sherbrooke;1;4;1; ;N;2007/04/02 00:00:00+00;2009/05/01 00:00:00+00;-71.654061;45.483248;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-71.6540609998189;45.4832479995655
949;51234136;CENTRE D'ACTIVITÉS DE JOUR DU VAL-SAINT-FRANÇOIS;CENTRE D'ACTIVITÉS DE JOUR DU VAL-SAINT-FRANÇOIS;12536637;Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie;CRDITED DE L'ESTRIE;5;Estrie;56, rue Saint-Georges; ;J1S1J5;(819) 845-1033;42088;Windsor;5161;Val Saint-François;420;Le Val-Saint-François;516;RLS de Val Saint-François;4;RUIS Université de Sherbrooke;1;4;1; ;N;2007/04/02 00:00:00+00;2012/01/30 00:00:00+00;-72.00292;45.569947;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-72.0029199996361;45.5699469999643
950;51234144;CENTRE D'ACTIVITÉS DE JOUR DE DIXVILLE;CENTRE D'ACTIVITÉS DE JOUR DE DIXVILLE;12536637;Centre de réadaptation en déficience intellectuelle et en troubles envahissants du développement de l'Estrie;CRDITED DE L'ESTRIE;5;Estrie;350, rue Saint-Alexandre; ;J0B1P0;(000) 000-0000;44023;Dixville;5141;Coaticook;440;Coaticook;514;RLS de Coaticook;4;RUIS Université de Sherbrooke;1;4;1; ;N;2007/04/02 00:00:00+00;2012/01/30 00:00:00+00;-71.771001;45.066759;Non;Non;Non;Non;Non;Oui;Non;Non;Non; ;Non;Non;Non;-71.7710009997651;45.066758999912
951;51234151;CENTRE D'HÉBERGEMENT ST-JEAN-EUDES;CENTRE D'HÉBERGEMENT ST-JEAN-EUDES;27508456;Centre d'hébergement St-Jean-Eudes Inc.;CENTRE D'HÉBERGEMENT ST-JEAN-EUDES INC.;3;Capitale-Nationale;6000, 3e Avenue Ouest; ;G1H7J5;(418) 627-1124;23027;Québec;3132;Charlesbourg;230;Québec;313;RLS de Québec-Nord;1;RUIS Université Laval;2;1;2; ;N;2010/02/24 00:00:00+00;2012/06/18 00:00:00+00;-71.259518;46.850524;Non;Non;Oui;Non;Non;Non;Non;Non;Non; ;Non;Non;Non;-71.2595180006528;46.8505240003407
952;51234169;CENTRE DE RÉADAPTATION EN DÉPENDANCE DE SAINT-PHILIPPE;CRD DE SAINT-PHILIPPE;11045317;Centre intégré de santé et de services sociaux de la Montérégie-Ouest;CISSS DE LA MONTÉRÉGIE-OUEST;16;Montérégie;6, rue Foucreault;case postale 119;J0L2K0;(450) 659-8911;67010;Saint-Philippe;16342;Saint-Constant - La Prairie;670;Roussillon;1634;RLS de Jardins-Roussillon;3;RUIS Université McGill;1;2;1; ;N;;2012/06/27 00:00:00+00;-73.477623;45.354185;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Oui;-73.4776230004021;45.354184999895
953;51234177;CLSC DE PIEDMONT;CLSC DE PIEDMONT;11045283;Centre intégré de santé et de services sociaux des Laurentides;CISSS DES LAURENTIDES;15;Laurentides;694, chemin Avila; ;J0R1R3;(450) 227-1571;77030;Piedmont;15131;Les Pays-d'en-Haut;770;Les Pays-d'en-Haut;1513;RLS des Pays-d'en-Haut;2;RUIS Université de Montréal;1;2;1; ;N;;2012/03/09 00:00:00+00;-74.145088;45.888385;Non;Non;Non;Oui;Non;Non;Non;Non;Non; ;Non;Non;Non;-74.1450879994681;45.888384999801
954;51234185;CENTRE DE RÉADAPTATION EN DÉPENDANCE BOULEVARD COUSINEAU;CRD  BOULEVARD COUSINEAU;11045317;Centre intégré de santé et de services sociaux de la Montérégie-Ouest;CISSS DE LA MONTÉRÉGIE-OUEST;16;Montérégie;5110, boulevard Cousineau; ;J3Y7G5;(450) 443-2100;58227;Longueuil;16112;Saint-Hubert;580;Longueuil;1611;RLS de Champlain;2;RUIS Université de Montréal;1;2;1; ;N;;2012/07/03 00:00:00+00;-73.427569;45.50347;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Oui;-73.4275689998332;45.5034700002795
955;51234193;CENTRE DE RÉADAPTATION EN DÉPENDANCE DE L'OUTAOUAIS;CRD DE L'OUTAOUAIS;11045218;Centre intégré de santé et de services sociaux de l'Outaouais;CISSS DE L'OUTAOUAIS;7;Outaouais;25, rue Saint-François; ;J9A1B1;(819) 776-5584;81017;Gatineau;7142;Hull;810;Gatineau;714;RLS de Grande-Rivière - Hull - Gatineau;3;RUIS Université McGill;1;2;1; ;N;;2012/09/27 00:00:00+00;-75.748327;45.422378;Non;Non;Non;Non;Non;Non;Non;Non;Non; ;Non;Non;Oui;-75.7483270003878;45.4223780001779
956;51234219;SERVICES EXTERNES ET D'AIDES TECHNIQUES DE MEMPHRÉMAGOG;SERV. EXT. ET AIDES TECHN. DE MEMPHRÉMAGOG;11045150;Centre intégré universitaire de santé et de services sociaux de l'Estrie – Centre hospitalier universitaire de Sherbrooke;CIUSSS DE L'ESTRIE – CHUS;5;Estrie;50, rue Saint-Patrice Est; ;J1X3X3;(819) 847-3089;45072;Magog;5131;Memphrémagog;450;Memphrémagog;513;RLS de Memphrémagog;4;RUIS Université de Sherbrooke;1;2;1; ;N;;2012/10/16 00:00:00+00;-72.144862;45.265088;Non;Non;Non;Non;Non;Non;Non;Oui;Non; ;Non;Non;Non;-72.144862000577;45.2650879998368
